ID;Centers;Distance;TotalCluster_Charles;Iterations_Charles;Jaccard_Charles;Rand_Charles;TotalCluster_Hanam;Iterations_Hanam;Jaccard_Hanam;Rand_Hanam;Has_Result_Diff
10;11;euclidean;11;29;0.224137931034483;0.723076923076923;11;11;0.256198347107438;0.723076923076923;TRUE
38;11;euclidean;11;44;0.254385964912281;0.738461538461539;11;9;0.452173913043478;0.806153846153846;TRUE
66;11;euclidean;11;5;0.1484375;0.664615384615385;11;20;0.330434782608696;0.763076923076923;TRUE
94;11;euclidean;11;19;0.289473684210526;0.750769230769231;11;15;0.232758620689655;0.726153846153846;TRUE
122;11;euclidean;11;48;0.198275862068966;0.713846153846154;11;25;0.189655172413793;0.710769230769231;TRUE
150;11;euclidean;11;26;0.263157894736842;0.741538461538462;11;23;0.189655172413793;0.710769230769231;TRUE
178;11;euclidean;11;38;0.219298245614035;0.726153846153846;11;27;0.181818181818182;0.695384615384615;TRUE
206;11;euclidean;11;15;0.159663865546218;0.692307692307692;11;24;0.232758620689655;0.726153846153846;TRUE
234;11;euclidean;11;41;0.382608695652174;0.781538461538462;11;36;0.208695652173913;0.72;TRUE
262;11;euclidean;11;34;0.198275862068966;0.713846153846154;11;32;0.243478260869565;0.732307692307692;TRUE
24;11;manhattan;11;0;0.365217391304348;0.775384615384615;11;0;0.258620689655172;0.735384615384615;TRUE
52;11;manhattan;11;0;0.2;0.667692307692308;11;0;0.278260869565217;0.744615384615385;TRUE
80;11;manhattan;11;0;0.205298013245033;0.630769230769231;11;0;0.173553719008264;0.692307692307692;TRUE
108;11;manhattan;11;0;0.246376811594203;0.68;11;0;0.207407407407407;0.670769230769231;TRUE
136;11;manhattan;11;0;0.276729559748428;0.646153846153846;11;0;0.353333333333333;0.701538461538462;TRUE
164;11;manhattan;11;0;0.162162162162162;0.618461538461539;11;0;0.23021582733813;0.670769230769231;TRUE
192;11;manhattan;11;0;0.28695652173913;0.747692307692308;11;0;0.198347107438017;0.701538461538462;TRUE
220;11;manhattan;11;0;0.198529411764706;0.664615384615385;11;0;0.237037037037037;0.683076923076923;TRUE
248;11;manhattan;11;0;0.356521739130435;0.772307692307692;11;0;0.278260869565217;0.744615384615385;TRUE
276;11;manhattan;11;0;0.38135593220339;0.775384615384615;11;0;0.222222222222222;0.72;TRUE
11;12;euclidean;12;18;0.21551724137931;0.72;12;12;0.165289256198347;0.689230769230769;TRUE
39;12;euclidean;12;13;0.181034482758621;0.707692307692308;12;40;0.321739130434783;0.76;TRUE
67;12;euclidean;12;15;0.208695652173913;0.72;12;16;0.21551724137931;0.72;TRUE
95;12;euclidean;12;11;0.267605633802817;0.68;12;18;0.191304347826087;0.713846153846154;TRUE
123;12;euclidean;12;24;0.245614035087719;0.735384615384615;12;18;0.385964912280702;0.784615384615385;TRUE
151;12;euclidean;12;28;0.210526315789474;0.723076923076923;12;50;0.168067226890756;0.695384615384615;TRUE
179;12;euclidean;12;26;0.137096774193548;0.670769230769231;12;12;0.145161290322581;0.673846153846154;TRUE
207;12;euclidean;12;21;0.228070175438596;0.729230769230769;12;6;0.128;0.664615384615385;TRUE
235;12;euclidean;12;18;0.208695652173913;0.72;12;27;0.226086956521739;0.726153846153846;TRUE
263;12;euclidean;12;18;0.151260504201681;0.689230769230769;12;21;0.228070175438596;0.729230769230769;TRUE
