"","ID","Centers","NumbTest","TotalCluster_Charles","TotalSumSquares_Charles","TotalwithinClusterSumSquares_Charles","TotalBetweenClusterSumSquares_Charles","Iterations_Charles","FaultInAlgorithm_Charles","Jaccard_Charles","Rand_Charles","TotalCluster_Hanam","TotalSumSquares_Hanam","TotalwithinClusterSumSquares_Hanam","TotalBetweenClusterSumSquares_Hanam","Iterations_Hanam","FaultInAlgorithm_Hanam","Jaccard_Hanam","Rand_Hanam","Has_Result_Diff"
"87",87,4,7,4,118.884615384615,54.4999999999999,64.3846153846155,2,0,0.588571428571429,0.778461538461538,4,117.923076923077,56.4166666666666,61.5064102564103,2,0,0.63855421686747,0.815384615384615,TRUE
"88",88,5,7,5,118.884615384615,42.6666666666666,76.2179487179488,2,0,0.620481927710843,0.806153846153846,5,117.923076923077,41.9999999999999,75.923076923077,2,0,0.620481927710843,0.806153846153846,FALSE
"89",89,6,7,6,118.884615384615,34.5,84.3846153846154,2,0,0.566176470588235,0.818461538461538,6,117.923076923077,29.4358974358975,88.4871794871795,2,0,0.789473684210526,0.926153846153846,TRUE
"90",90,7,7,7,118.884615384615,23.4444444444444,95.4401709401709,2,0,0.473684210526316,0.815384615384615,7,117.923076923077,21.4166666666667,96.5064102564102,3,0,0.684210526315789,0.889230769230769,TRUE
"91",91,8,7,8,118.884615384615,18.3619047619048,100.522710622711,3,0,0.37719298245614,0.781538461538462,8,117.923076923077,18.3030303030303,99.6200466200466,3,0,0.587719298245614,0.855384615384615,TRUE
"92",92,9,7,9,118.884615384615,18.1363636363636,100.748251748252,2,0,0.547826086956522,0.84,9,117.923076923077,19.875,98.0480769230769,2,0,0.24031007751938,0.698461538461538,TRUE
"93",93,10,7,10,118.884615384615,10.5555555555556,108.32905982906,3,0,0.412280701754386,0.793846153846154,10,117.923076923077,10.0555555555556,107.867521367521,2,0,0.412280701754386,0.793846153846154,FALSE
"94",94,11,7,11,118.884615384615,8,110.884615384615,2,0,0.254385964912281,0.738461538461539,11,117.923076923077,9,108.923076923077,2,0,0.289473684210526,0.750769230769231,TRUE
"95",95,12,7,12,118.884615384615,7.16666666666667,111.717948717949,2,0,0.236842105263158,0.732307692307692,12,117.923076923077,5.96666666666667,111.95641025641,2,0,0.210526315789474,0.723076923076923,TRUE
"96",96,13,7,13,118.884615384615,5.63333333333333,113.251282051282,2,0,0.192982456140351,0.716923076923077,13,117.923076923077,8.83333333333333,109.089743589744,2,0,0.228070175438596,0.729230769230769,TRUE
"97",97,14,7,14,118.884615384615,5.13333333333333,113.751282051282,3,0,0.184210526315789,0.713846153846154,14,117.923076923077,4.16666666666667,113.75641025641,2,0,0.219298245614035,0.726153846153846,TRUE
"98",98,15,7,15,118.884615384615,4,114.884615384615,3,0,0.140350877192982,0.698461538461538,15,117.923076923077,3.8,114.123076923077,1,0,0.175438596491228,0.710769230769231,TRUE
"99",99,2,8,2,118.884615384615,85.2800000000001,33.6046153846153,1,0,0.348684210526316,0.390769230769231,2,117.923076923077,98.8333333333332,19.0897435897437,1,0,0.420212765957447,0.664615384615385,TRUE
"100",100,3,8,3,118.884615384615,67.8636363636361,51.0209790209793,3,0,0.29811320754717,0.427692307692308,3,117.923076923077,66.7564102564102,51.1666666666667,2,0,0.451428571428571,0.704615384615385,TRUE
"101",101,4,8,4,118.884615384615,55.8823529411764,63.002262443439,2,0,0.560240963855422,0.775384615384615,4,117.923076923077,51.6666666666666,66.2564102564103,2,0,0.484662576687117,0.741538461538462,TRUE
"102",102,5,8,5,118.884615384615,38.5,80.3846153846154,2,0,0.580882352941177,0.824615384615385,5,117.923076923077,52.8333333333332,65.0897435897437,2,0,0.404255319148936,0.741538461538462,TRUE
"103",103,6,8,6,118.884615384615,33.3333333333333,85.5512820512821,2,0,0.363636363636364,0.741538461538462,6,117.923076923077,37.0666666666667,80.8564102564102,2,0,0.439024390243902,0.787692307692308,TRUE
"104",104,7,8,7,118.884615384615,23.4444444444444,95.4401709401709,3,0,0.473684210526316,0.815384615384615,7,117.923076923077,25.6025641025641,92.3205128205128,2,0,0.771929824561403,0.92,TRUE
"105",105,8,8,8,118.884615384615,23.875,95.0096153846154,2,0,0.248062015503876,0.701538461538462,8,117.923076923077,18.9444444444444,98.9786324786325,2,0,0.456140350877193,0.809230769230769,TRUE
"106",106,9,8,9,118.884615384615,14.4444444444444,104.440170940171,2,0,0.429824561403509,0.8,9,117.923076923077,14.469696969697,103.45337995338,2,0,0.570175438596491,0.849230769230769,TRUE
"107",107,10,8,10,118.884615384615,11.7619047619048,107.122710622711,3,0,0.307017543859649,0.756923076923077,10,117.923076923077,11.2619047619048,106.661172161172,4,0,0.307017543859649,0.756923076923077,FALSE
"108",108,11,8,11,118.884615384615,9.33333333333333,109.551282051282,3,0,0.298245614035088,0.753846153846154,11,117.923076923077,9.8,108.123076923077,2,0,0.228070175438596,0.729230769230769,TRUE
"109",109,12,8,12,118.884615384615,7,111.884615384615,2,0,0.245614035087719,0.735384615384615,12,117.923076923077,6,111.923076923077,2,0,0.245614035087719,0.735384615384615,FALSE
"110",110,13,8,13,118.884615384615,5,113.884615384615,2,0,0.236842105263158,0.732307692307692,13,117.923076923077,7.26190476190476,110.661172161172,2,0,0.271929824561404,0.744615384615385,TRUE
"111",111,14,8,14,118.884615384615,4.8,114.084615384615,2,0,0.175438596491228,0.710769230769231,14,117.923076923077,4.63333333333333,113.289743589744,2,0,0.184210526315789,0.713846153846154,TRUE
"112",112,15,8,15,118.884615384615,2.8,116.084615384615,2,0,0.166666666666667,0.707692307692308,15,117.923076923077,3.13333333333333,114.789743589744,3,0,0.175438596491228,0.710769230769231,TRUE
"113",113,2,9,2,118.884615384615,85.2800000000001,33.6046153846153,1,0,0.348684210526316,0.390769230769231,2,117.923076923077,84.3200000000001,33.6030769230768,1,0,0.348684210526316,0.390769230769231,FALSE
"114",114,3,9,3,118.884615384615,67.708333333334,51.1762820512814,1,0,0.363957597173145,0.446153846153846,3,117.923076923077,66.7500000000006,51.1730769230763,2,0,0.363957597173145,0.446153846153846,FALSE
"115",115,4,9,4,118.884615384615,51.9047619047619,66.9798534798535,2,0,0.468181818181818,0.64,4,117.923076923077,57.3942307692308,60.5288461538461,3,0,0.720930232558139,0.889230769230769,TRUE
"116",116,5,9,5,118.884615384615,53.7499999999999,65.1346153846155,2,0,0.404255319148936,0.741538461538462,5,117.923076923077,52.8333333333332,65.0897435897437,2,0,0.404255319148936,0.741538461538462,FALSE
"117",117,6,9,6,118.884615384615,33.2386363636364,85.645979020979,3,0,0.527131782945736,0.812307692307692,6,117.923076923077,33.5,84.4230769230769,2,0,0.387323943661972,0.732307692307692,TRUE
"118",118,7,9,7,118.884615384615,27.6666666666667,91.2179487179487,2,0,0.330985915492958,0.707692307692308,7,117.923076923077,27.2083333333333,90.7147435897436,2,0,0.263565891472868,0.707692307692308,TRUE
